Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/01/2015,TCS,EQ,2558.25,2567,2567,2541,2550,2545.55,2548.51,183415,4.67434E+13,8002,52870,0.2883
2/01/2015,TCS,EQ,2545.55,2551,2590.95,2550.6,2588.4,2579.45,2568.19,462870,1.18874E+14,27585,309350,0.6683
5/01/2015,TCS,EQ,2579.45,2581,2599.9,2524.65,2538.1,2540.25,2563.94,877121,2.24889E+14,43234,456728,0.5207
6/01/2015,TCS,EQ,2540.25,2529.1,2529.1,2440,2450.05,2446.6,2466.9,1211892,2.98962E+14,84503,714306,0.5894
7/01/2015,TCS,EQ,2446.6,2470,2479.15,2407.45,2426.9,2417.7,2433.96,1318166,3.20836E+14,101741,886368,0.6724
8/01/2015,TCS,EQ,2417.7,2442.4,2449,2420.55,2446,2443.8,2434.81,782704,1.90574E+14,47699,450768,0.5759
9/01/2015,TCS,EQ,2443.8,2455,2519.9,2450,2510,2512.3,2490.01,1598821,3.98108E+14,81743,865777,0.5415
12/01/2015,TCS,EQ,2512.3,2517,2528,2480.25,2527.95,2509.7,2497.82,798003,1.99327E+14,58810,451228,0.5654
13/01/2015,TCS,EQ,2509.7,2520,2530.4,2480.1,2498,2497.9,2509.4,734216,1.84244E+14,49993,386133,0.5259
14/01/2015,TCS,EQ,2497.9,2516,2531.8,2500.5,2525.05,2521.95,2517.54,893548,2.24955E+14,69237,498193,0.5575
15/01/2015,TCS,EQ,2521.95,2533,2581.75,2523.25,2542.05,2539.1,2550.97,2504960,6.39008E+14,96363,1598846,0.6383
16/01/2015,TCS,EQ,2539.1,2543.7,2545,2484.3,2526,2532.15,2511.39,2646915,6.64744E+14,127847,1372200,0.5184
19/01/2015,TCS,EQ,2532.15,2536,2551,2503,2509,2511,2516.06,567537,1.42795E+14,38860,309156,0.5447
20/01/2015,TCS,EQ,2511,2520,2530,2483.25,2498,2500.45,2498.94,1029283,2.57212E+14,58066,733487,0.7126
21/01/2015,TCS,EQ,2500.45,2522,2522,2488.25,2518,2513.8,2507.75,1155240,2.89705E+14,75976,771316,0.6677
22/01/2015,TCS,EQ,2513.8,2516.5,2521.25,2495.5,2511,2513.55,2509.31,1056607,2.65135E+14,74837,742399,0.7026
23/01/2015,TCS,EQ,2513.55,2514,2532.05,2496.1,2504.1,2503.6,2507.34,1575190,3.94953E+14,94619,1205911,0.7656
27/01/2015,TCS,EQ,2503.6,2512.35,2515,2489.55,2504.2,2502.05,2502.26,1369368,3.42651E+14,71406,1079233,0.7881
28/01/2015,TCS,EQ,2502.05,2503,2544.9,2502.9,2533.4,2539.6,2529.32,1560990,3.94824E+14,101994,1142166,0.7317
29/01/2015,TCS,EQ,2539.6,2538,2568.7,2512.9,2560.7,2544.65,2531.88,1867196,4.72752E+14,67497,1547590,0.8288
30/01/2015,TCS,EQ,2544.65,2560.7,2575,2470,2484,2482.05,2494.94,2908701,7.25703E+14,119200,2355497,0.8098
2/02/2015,TCS,EQ,2482.05,2482,2521.45,2462.05,2516,2514.2,2500.6,1590901,3.97821E+14,89485,1171718,0.7365
3/02/2015,TCS,EQ,2514.2,2511.65,2565,2507.1,2552.25,2558.25,2536.23,1172527,2.97379E+14,75106,701449,0.5982
4/02/2015,TCS,EQ,2558.25,2568,2571.7,2502.1,2514.95,2514.3,2523.08,1122709,2.83269E+14,60615,807091,0.7189
5/02/2015,TCS,EQ,2514.3,2520,2591.7,2519,2553,2552.4,2558.13,2265084,5.79439E+14,77935,1638106,0.7232
6/02/2015,TCS,EQ,2552.4,2553,2594.8,2550.85,2576.1,2575.75,2578.4,1068208,2.75426E+14,82449,582019,0.5449
9/02/2015,TCS,EQ,2575.75,2561.5,2569.1,2500,2512,2512.9,2531.83,1038216,2.62859E+14,72967,695542,0.6699
10/02/2015,TCS,EQ,2512.9,2510,2526.25,2433,2445.5,2441.15,2473.88,1899527,4.6992E+14,114773,1383973,0.7286
11/02/2015,TCS,EQ,2441.15,2455.05,2487.25,2447.25,2460,2459.9,2468.94,1468761,3.62628E+14,115345,1143243,0.7784
12/02/2015,TCS,EQ,2459.9,2479.8,2479.8,2447,2469,2462.15,2462.56,1553990,3.82679E+14,113845,1269759,0.8171
13/02/2015,TCS,EQ,2462.15,2470,2547.75,2460.25,2540,2538.75,2508.49,2079163,5.21556E+14,132132,1521051,0.7316
16/02/2015,TCS,EQ,2538.75,2560,2595,2555,2581.7,2584.8,2576.98,1182196,3.04649E+14,82111,831991,0.7038
18/02/2015,TCS,EQ,2584.8,2585.05,2643,2565.25,2640,2635.65,2605.04,1330007,3.46472E+14,70475,792678,0.596
19/02/2015,TCS,EQ,2635.65,2636,2687.3,2635,2674.55,2681.05,2660.47,1309001,3.48256E+14,80730,831048,0.6349
20/02/2015,TCS,EQ,2681.05,2698.8,2698.8,2642.25,2664.65,2675.55,2672.56,900794,2.40742E+14,43830,537225,0.5964
23/02/2015,TCS,EQ,2675.55,2671,2722,2671,2700,2696.65,2701.93,807446,2.18166E+14,47641,362669,0.4492
24/02/2015,TCS,EQ,2696.65,2694,2730,2679,2699.35,2704.75,2709.36,1099961,2.98019E+14,46480,685771,0.6235
25/02/2015,TCS,EQ,2704.75,2710,2722,2667.85,2669.7,2672.2,2694.16,883997,2.38163E+14,43048,546944,0.6187
26/02/2015,TCS,EQ,2672.2,2679,2692.75,2625.35,2649.5,2656.45,2655.31,995997,2.64468E+14,56829,565254,0.5675
27/02/2015,TCS,EQ,2656.45,2659.45,2675.75,2616.3,2668,2662.35,2647.84,1438688,3.80942E+14,74413,1003079,0.6972
28/02/2015,TCS,EQ,2662.35,2677,2687.1,2643,2679.55,2675.25,2668.12,589498,1.57285E+14,30189,271598,0.4607
2/03/2015,TCS,EQ,2675.25,2679.7,2708.95,2652.55,2673.95,2669.4,2664.97,1088019,2.89954E+14,64343,770649,0.7083
3/03/2015,TCS,EQ,2669.4,2682,2790,2676.15,2785.1,2776,2748.34,1712154,4.70558E+14,74770,1068918,0.6243
4/03/2015,TCS,EQ,2776,2788,2812.1,2715.65,2740,2746,2763.04,1931497,5.33681E+14,71983,1405748,0.7278
5/03/2015,TCS,EQ,2746,2750,2770.7,2681.05,2690.1,2696.45,2713.59,1086757,2.94901E+14,45126,677138,0.6231
9/03/2015,TCS,EQ,2696.45,2640,2679.8,2610,2649,2646.8,2647.72,1441587,3.81692E+14,64488,864858,0.5999
10/03/2015,TCS,EQ,2646.8,2648.9,2678.25,2595.25,2638.85,2642.7,2632.78,1518526,3.99794E+14,89030,910422,0.5995
11/03/2015,TCS,EQ,2642.7,2642,2659.95,2597.8,2605.15,2606.55,2622.9,1120100,2.93791E+14,52147,616835,0.5507
12/03/2015,TCS,EQ,2606.55,2623.9,2624.9,2590.1,2618.2,2619.05,2606.76,913818,2.3821E+14,62767,582972,0.638
13/03/2015,TCS,EQ,2619.05,2638,2639.95,2575,2585,2582.35,2594.75,793419,2.05872E+14,67541,481480,0.6068
16/03/2015,TCS,EQ,2582.35,2585.2,2610,2552,2560.6,2562.3,2579.88,778148,2.00753E+14,44209,484279,0.6223
17/03/2015,TCS,EQ,2562.3,2582.5,2606.7,2557.75,2583.65,2583.7,2582.66,633659,1.63653E+14,56639,368300,0.5812
18/03/2015,TCS,EQ,2583.7,2590.95,2599.45,2551.7,2556,2559.35,2561.86,627585,1.60779E+14,38991,364010,0.58
19/03/2015,TCS,EQ,2559.35,2576,2605.85,2568.1,2602,2596.25,2596.45,1224482,3.1793E+14,71701,888461,0.7256
20/03/2015,TCS,EQ,2596.25,2596,2618,2578.85,2610.85,2610.95,2608.5,981954,2.56142E+14,74415,714293,0.7274
23/03/2015,TCS,EQ,2610.95,2616,2631,2606,2616,2617.15,2616.73,783304,2.0497E+14,59518,575211,0.7343
24/03/2015,TCS,EQ,2617.15,2630,2637,2582.1,2600,2591.3,2617.59,1197439,3.13441E+14,58016,848633,0.7087
25/03/2015,TCS,EQ,2591.3,2591.4,2614,2545.2,2569.85,2573.75,2575.29,1112429,2.86483E+14,75792,825133,0.7417
26/03/2015,TCS,EQ,2573.75,2553.3,2586.7,2501,2515,2513.1,2535.65,1545821,3.91967E+14,82115,1110655,0.7185
27/03/2015,TCS,EQ,2513.1,2531,2571.9,2504.1,2519.9,2514.8,2536.73,1375888,3.49026E+14,76990,947653,0.6888
30/03/2015,TCS,EQ,2514.8,2525,2569.9,2520,2554.2,2564.15,2546.18,669503,1.70467E+14,64141,461568,0.6894
31/03/2015,TCS,EQ,2564.15,2569.45,2569.45,2521,2560,2553.95,2548.15,1213514,3.09222E+14,88908,862309,0.7106
1/04/2015,TCS,EQ,2553.95,2558,2563.6,2522.25,2544.05,2542.65,2538.81,1037879,2.63498E+14,54078,784911,0.7563
6/04/2015,TCS,EQ,2542.65,2558,2562.9,2500.1,2548.3,2547.3,2531.53,784271,1.9854E+14,45408,485665,0.6193
7/04/2015,TCS,EQ,2547.3,2562.45,2599,2544,2588.95,2585,2571.5,943461,2.42611E+14,77106,562689,0.5964
8/04/2015,TCS,EQ,2585,2594,2656.5,2590.85,2646,2641.4,2632,826067,2.17421E+14,61358,496296,0.6008
9/04/2015,TCS,EQ,2641.4,2659,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,3.38202E+14,62583,902143,0.7091
10/04/2015,TCS,EQ,2664.55,2648.5,2670.8,2628,2651.1,2653.75,2648.39,907772,2.40414E+14,63471,625228,0.6888
